"Table S1. Differentially Expressed Genes after Remote Fear Memory Extinction between CI-994- and VEH-Treated Animals, Related to Experimental Procedures"					
Gene	Locus	log2 	Expression (a.u.) in		p-value
		(fold change 			
		CI-994 vs VEH)			
			CI-994	VEH	
Cox8b	chr7:148084840-148086345	-4.31653	12.026	0.603554	0.0169313
Tmem72	chr6:116642742-116666776	-4.00452	3.57989	0.223043	4.84E-09
Slc16a8	chr15:79081445-79085178	-3.99992	2.52894	0.158068	0.000656546
Slc4a5	chr6:83187368-83254939	-3.99193	4.43295	0.278614	1.60E-14
Steap1	chr5:5736321-5749317	-3.83595	5.31896	0.372469	4.52E-05
Aqp1	chr6:55286292-55298549	-3.75414	5.43807	0.403029	1.16E-10
Kcne2	chr16:92292633-92298378	-3.67376	11.339	0.888514	1.39E-12
Kcnj13	chr1:89223572-89347385	-3.48155	22.1107	1.97948	7.71E-07
1110059M19Rik	chrX:42444080-42445967	-3.28827	6.32444	0.647373	1.57E-05
Crb3	chr17:57201699-57205337	-3.2875	1.47707	0.151274	0.0329694
Folr1	chr7:109006844-109019197	-3.15414	11.2952	1.26883	1.07E-09
Cldn2	chrX:136335346-136345927	-3.0012	6.84973	0.855506	3.63E-13
F5	chr1:166045394-166150405	-2.89628	5.6704	0.761633	0
1500015O10Rik	chr1:43787446-43799409	-2.79512	34.7292	5.00357	1.00E-13
Prlr	chr15:10106992-10266775	-2.79337	3.97663	0.573624	0
Clic6	chr16:92498391-92541486	-2.75667	18.4377	2.72814	0
Sostdc1	chr12:37040755-37045039	-2.73383	27.1503	4.08141	0
Otx2	chr14:49277858-49282547	-2.72402	6.53068	0.988431	1.15E-07
Krt18	chr15:101858646-101862457	-2.56612	2.71797	0.458949	0.00160223
Col8a1	chr16:57624368-57754850	-2.53681	2.97093	0.51196	1.54E-09
Cldn1	chr16:26356731-26371925	-2.49938	3.02897	0.53568	6.23E-07
Col8a2	chr4:125964037-125991574	-2.497	3.90175	0.691173	4.40E-10
Abca4	chr3:121747377-121882979	-2.47167	1.85358	0.334168	1.07E-08
Wdr86	chr5:24218086-24236498	-2.45163	2.99467	0.547435	0.000346233
Trpv4	chr5:115072162-115108430	-2.44417	3.32068	0.610178	6.26E-07
Rdh5	chr10:128350646-128356353	-2.36465	11.6769	2.26725	5.94E-08
Enpp2	chr15:54670452-54751701	-2.32294	376.986	75.3442	3.77E-11
Npas4	chr19:4984354-4989971	-2.32006	4.42832	0.88681	1.18E-08
Wfdc2	chr2:164388215-164394006	-2.26401	5.17517	1.07743	0.00702953
Slc39a4	chr15:76442812-76447282	-2.20539	1.93569	0.419707	0.00142107
Epn3	chr11:94350912-94361288	-2.07926	2.56069	0.605951	5.08E-06
Ccdc135	chr8:97579002-97602041	-2.04991	4.78224	1.15491	3.38E-07
Ace	chr11:105829258-105851278	-1.99337	13.7638	3.45681	0
Sulf1	chr1:12682510-12850453	-1.98332	6.73518	1.70338	3.80E-11
Plin4	chr17:56219079-56249225	-1.92195	1.6633	0.438941	0.00284915
Slc2a12	chr10:22364816-22451253	-1.81731	5.99902	1.70222	0.000120008
Calml4	chr9:62686593-62723724	-1.79851	10.6226	3.05368	0.00531741
Pla2g5	chr4:138355161-138419384	-1.78933	2.49342	0.721359	0.0194324
Pisd-ps2	chr17:3064317-3084183	-1.7552	1.50371	0.445447	0.035835
Fos	chr12:86814850-86818219	-1.6093	12.3045	4.03289	1.97E-08
Xist	chrX:100626855-100680296	-1.57818	25.2637	8.46093	1.48E-13
Sema3b	chr9:107500445-107511572	-1.56335	2.62487	0.888161	0.00371013
Kl	chr5:151755181-151796392	-1.5436	26.5336	9.10176	4.44E-16
Sgms2	chr3:131021903-131047841	-1.50132	2.24263	0.792165	3.27E-05
Perp	chr10:18564876-18576878	-1.45305	4.50789	1.6465	0.000947874
Lbp	chr2:158132228-158158588	-1.45215	5.9873	2.18822	2.40E-05
Sox2ot	chr3:34459302-34576915	-1.41186	7.00574	2.63294	0.000318019
Pon3	chr6:5170851-5206233	-1.38852	3.75835	1.43552	0.00339804
Igf2	chr7:149836672-149856261	-1.37723	41.1047	15.8235	1.32E-09
Col9a3	chr2:180332926-180377396	-1.36258	7.06648	2.74805	5.84E-06
Bst2	chr8:74058160-74061336	-1.30557	7.27537	2.94333	0.0148121
Cd74	chr18:60963502-60972306	-1.29024	4.68422	1.91531	0.0285699
Pcolce	chr5:138046334-138052632	-1.27409	9.01304	3.72675	0.000332357
Zfp185	chrX:70232677-70276882	-1.26259	1.43556	0.598332	0.0199955
Neat1	chr19:5842301-5845478	-1.23939	22.5012	9.53038	2.95E-11
Igfbp2	chr1:72871076-72899045	-1.23556	50.5801	21.4803	1.38E-09
Msx1	chr5:38211729-38215824	-1.234	10.7426	4.56707	9.98E-05
Mdfic	chr6:15670660-15752169	-1.23277	2.8844	1.22732	0.00140671
Slc37a2	chr9:37036733-37063323	-1.21699	1.50413	0.647045	0.00889605
Tle2	chr10:81038276-81053590	-1.21489	3.73611	1.60954	0.00153844
Fxyd5	chr7:31817741-31827341	-1.20868	5.1402	2.22398	0.0365653
Vat1l	chr8:116729539-116897970	-1.17813	15.6523	6.9171	4.43E-09
St6galnac2	chr11:116538018-116555974	-1.15334	3.37499	1.51734	0.00986963
Slc24a5	chr2:124893862-124949396	-1.13867	7.40469	3.36304	0.0356265
Slc4a2	chr5:23931049-23946765	-1.13785	14.2833	6.49087	1.03E-08
Cgnl1	chr9:71474315-71619409	-1.12387	4.19011	1.92267	5.25E-06
Eps8l2	chr7:148524900-148551009	-1.11918	1.96027	0.902424	0.0307052
Htr2c	chrX:143397055-143631820	-1.11637	17.7983	8.20954	1.33E-09
A2m	chr6:121586190-121629256	-1.09561	2.02125	0.945818	0.00406685
Robo3	chr9:37223629-37240760	-1.08526	1.72459	0.812812	0.00700993
Rgs11	chr17:26339906-26348269	-1.08072	4.09976	1.93833	0.00906579
Ubxn11	chr4:133658513-133682693	-1.07519	3.75298	1.7812	0.0238317
Myo7a	chr7:105199569-105268003	-1.05898	2.2954	1.10173	0.000465332
Slc13a4	chr6:35217952-35258126	-1.05601	6.0965	2.93218	0.000305923
6720401G13Rik	chrX:47908920-47988435	-1.05369	2.84394	1.37002	0.0136903
1700009P17Rik	chr1:173051791-173057098	-1.04342	4.67919	2.27023	0.0450559
Steap2	chr5:5664830-5694568	-1.0358	2.5751	1.25599	0.00509692
Slc16a12	chr19:34742895-34821601	-1.02989	1.61071	0.788841	0.0217712
Cdkn1c	chr7:150644243-150646955	-1.01323	6.31103	3.1267	0.0282109
Ryr1	chr7:29788358-29910170	-1.00119	1.55168	0.775203	0.000134725
Snhg11	chr2:158201373-158211881	-0.982825	66.0083	33.3994	3.98E-10
Meg3	chr12:110779205-110809939	-0.976079	77.1527	39.2213	0.000109407
Nid2	chr14:20570478-20643045	-0.938552	1.61737	0.843872	0.0319083
Sfrp1	chr8:24521973-24560104	-0.933522	2.69771	1.41246	0.0062284
Dusp1	chr17:26642535-26645417	-0.926417	12.0917	6.36219	0.000549526
Nipal2	chr15:34502553-34608461	-0.919132	1.63816	0.866302	0.0346446
Cd59a	chr2:103935957-103955508	-0.908256	4.52642	2.41181	0.0280941
Hfe	chr13:23795709-23802680	-0.901391	4.40359	2.35755	0.0299066
Leng8	chr7:4088657-4099775	-0.893387	16.8872	9.09121	2.95E-07
Slc31a1	chr4:62021734-62052803	-0.887481	11.7896	6.37296	1.71E-05
C1qtnf5	chr9:43909852-43917270	-0.871873	17.0111	9.29549	0.00886615
Wdfy1	chr1:79698836-79758344	-0.86068	4.37993	2.41199	0.00190357
Lime1	chr2:181115939-181118333	-0.856851	8.32232	4.59523	0.00444616
Arc	chr15:74499512-74503000	-0.851766	67.4328	37.3649	2.37E-08
Ankrd57	chr10:58684669-58689181	-0.84836	5.58346	3.10114	0.000665719
Gadd45b	chr10:80392835-80394949	-0.844723	14.5438	8.09827	0.00452278
Lrrc45	chr11:120575266-120582441	-0.838842	6.31162	3.52878	0.00567116
Scube1	chr15:83433012-83555451	-0.831632	6.6221	3.72091	1.74E-05
Spint2	chr7:30041348-30066996	-0.82188	24.2256	13.7045	0.000906601
Thbs3	chr3:89019108-89030759	-0.818975	2.21182	1.25376	0.0463233
Bmp6	chr13:38437584-38591597	-0.803802	5.29156	3.03121	0.0173026
Vamp8	chr6:72335214-72340661	-0.802218	16.6239	9.53326	0.0212352
Nnt	chr13:120123123-120197945	-0.798852	10.5379	6.05726	0.000386518
Agxt2l1	chr3:130320365-130338668	-0.790997	6.11374	3.5334	0.00727029
A330021E22Rik	chr5:5580981-5664232	-0.790708	2.41573	1.39644	0.0425633
Pcolce2	chr9:95538046-95595970	-0.789239	5.98656	3.46412	0.0252522
Trpm3	chr19:22213606-23064374	-0.78715	21.5092	12.4643	0.000849931
Cdr2	chr7:128100549-128125826	-0.773774	6.39373	3.7396	0.00817352
Zbtb8b	chr4:129103008-129118062	-0.771526	2.69918	1.58117	0.0379946
Cab39l	chr14:60059817-60167740	-0.761059	18.6931	11.0301	5.92E-05
A330023F24Rik	chr1:196843592-196864102	-0.760732	4.98444	2.9418	0.00158648
Rbp1	chr9:98323379-98346969	-0.75544	4.26636	2.52725	0.0272791
Rsph4a	chr10:33624916-33635827	-0.75474	2.66768	1.58101	0.0302916
Leprel2	chr6:124791112-124807705	-0.748397	3.27002	1.94653	0.0450647
Abhd14b	chr9:106350970-106355249	-0.747505	7.12133	4.2417	0.0393993
A930011O12Rik	chr14:65206951-65212798	-0.745203	16.6124	9.91071	4.87E-05
Inhbb	chr1:121312041-121318825	-0.744926	3.86449	2.30593	0.0116693
Elovl7	chr13:109004597-109077301	-0.740038	5.98029	3.58054	0.000948037
Atp11c	chrX:57476466-57657156	-0.736243	3.19103	1.91558	0.0428485
Rgl2	chr17:34066838-34074632	-0.733227	5.32037	3.2005	0.0141718
Malat1	chr19:5795689-5802671	-0.732456	29.0279	17.4713	1.60E-06
Wbscr27	chr5:135408242-135418507	-0.729251	3.7238	2.24626	0.035421
Hapln2	chr3:87825671-87831433	-0.723425	9.87563	5.98125	0.00874605
Car14	chr3:95697918-95708562	-0.718318	9.44626	5.74149	0.0252347
Bzrap1	chr11:87574042-87599430	-0.698098	18.8202	11.6005	7.47E-06
Stxbp2	chr8:3631159-3643644	-0.696123	4.44195	2.7417	0.0347081
Miat	chr5:112642247-112657968	-0.690618	19.5804	12.1318	4.75E-06
Vip	chr10:4698926-4707323	-0.685655	15.8857	9.87651	0.00682585
Entpd4	chr14:69955207-69984799	-0.681461	43.1625	26.9133	1.32E-05
Rreb1	chr13:37917906-38043874	-0.67495	5.18363	3.24679	0.0243717
Csrnp1	chr9:119880283-119893776	-0.670516	6.08983	3.82613	0.0182422
Sgk3	chr1:9788210-9892649	-0.660425	2.67226	1.69072	0.0361118
